id,name,rarity,description,image,animation,power,speed,endurance,minCalories,minDuration,sport,unlockDescription,experienceReward,lore
001,Thunder Wolf,rare,A swift predator that runs with lightning speed through mountain trails.,,,85,92,78,400,30,RUNNING,Complete a 30+ minute run burning 400+ calories,150,Thunder Wolves are known to inhabit high-altitude regions where storms are frequent.
002,Flame Phoenix,epic,A majestic bird of fire that rises from intense training sessions.,,,120,88,95,600,60,,Train for 60+ minutes burning 600+ calories,250,Only the most dedicated athletes can summon this legendary creature.
003,Aqua Serpent,common,A graceful water creature that emerges during swimming sessions.,,,45,65,70,200,,SWIMMING,Complete a swimming workout burning 200+ calories,75,Found in all major bodies of water, this creature loves to accompany swimmers.
004,Golden Dragon,legendary,The ultimate prize for elite athletes who push beyond their limits.,,,150,100,120,1000,90,,Complete an epic 90+ minute session burning 1000+ calories,500,Legends speak of this dragon appearing only to those who achieve greatness.
005,Forest Spirit,common,A gentle creature that appears during peaceful nature walks.,,,55,60,85,250,45,HIKING,Complete a 45+ minute hike burning 250+ calories,100,These spirits guide hikers through ancient forests and mountain paths.
006,Iron Titan,rare,A powerful being forged in the fires of intense strength training.,,,110,45,130,500,50,FITNESS,Complete a 50+ minute fitness workout burning 500+ calories,180,Born from determination and perseverance in the weight room.
007,Wind Falcon,common,A swift bird that soars alongside cyclists on their journeys.,,,60,95,55,300,25,CYCLING,Complete a 25+ minute cycling ride burning 300+ calories,90,Known to race with cyclists, testing their speed and endurance.
008,Crystal Guardian,epic,A mystical protector that appears after sustained cardiovascular excellence.,,,95,70,140,800,75,,Train for 75+ minutes burning 800+ calories,300,Guards the realm between mortal endurance and superhuman achievement.
009,Shadow Panther,rare,A stealthy predator that appears during night runs.,,,90,98,75,450,35,RUNNING,Complete a 35+ minute run burning 450+ calories,160,Moves silently through the darkness, only visible to those who dare run at night.
010,Boulder Bear,common,A sturdy companion for those who enjoy mountain hiking.,,,70,40,95,300,60,HIKING,Complete a 60+ minute hike burning 300+ calories,110,These gentle giants roam mountain trails and protect hikers from harm.
